IsoCode;TypeOfFoodID;TypeOfNutritionalFactId;SupplyQuantity
CAN;5;1;13.0279
CAF;5;1;8.9565
TCD;5;1;27.8124
CHL;5;1;19.5782
CHN;5;1;17.3827
COL;5;1;15.3337
COG;5;1;12.6462
CRI;5;1;14.499
CIV;5;1;18.8278
HRV;5;1;14.2695
CUB;5;1;19.607
CYP;5;1;15.392
CZE;5;1;11.4011
DNK;5;1;13.3757
DJI;5;1;27.8918
DMA;5;1;11.3791
DOM;5;1;13.3054
ECU;5;1;23.4396
EGY;5;1;32.2144
SLV;5;1;22.6043
EST;5;1;16.2121
SWZ;5;1;27.5468
ETH;5;1;31.5321
FJI;5;1;18.1338
FIN;5;1;14.504
FRA;5;1;13.8983
PYF;5;1;15.8885
GAB;5;1;18.0064
GMB;5;1;26.8845
GEO;5;1;25.6053
DEU;5;1;12.4016
GHA;5;1;13.8784
GRC;5;1;14.4731
GRD;5;1;13.7565
GTM;5;1;23.8619
GIN;5;1;24.8479
GNB;5;1;28.6127
GUY;5;1;21.2998
HTI;5;1;21.5754
HND;5;1;23.3301
HUN;5;1;13.4206
ISL;5;1;10.7803
IND;5;1;27.652
IDN;5;1;31.9557
IRN;5;1;26.2179
IRQ;5;1;29.7308
IRL;5;1;14.4471
ISR;5;1;15.297
ITA;5;1;16.2999
JAM;5;1;16.1255
JPN;5;1;19.6329
JOR;5;1;22.0892
KAZ;5;1;14.6746
KEN;5;1;26.3951
KIR;5;1;16.9993
PRK;5;1;29.9926
KOR;5;1;20.5847
KWT;5;1;20.4209
KGZ;5;1;22.8776
LAO;5;1;29.488
LVA;5;1;14.7546
LBN;5;1;21.3268
LSO;5;1;34.6044
LBR;5;1;25.2814
LTU;5;1;15.7187
LUX;5;1;11.979
MDG;5;1;31.2401
MWI;5;1;23.3428
MYS;5;1;21.5194
MDV;5;1;22.5577
MLI;5;1;32.9116
MLT;5;1;15.8937
MRT;5;1;26.6186
MUS;5;1;23.1974
MEX;5;1;21.5118
MNG;5;1;18.7724
MNE;5;1;16.1184
MAR;5;1;29.4675
MOZ;5;1;21.957
MMR;5;1;23.4358
NAM;5;1;18.7294
NPL;5;1;30.7115
NLD;5;1;11.4822
NCL;5;1;15.9607
NZL;5;1;14.4781
NIC;5;1;25.0904
NER;5;1;31.0585
NGA;5;1;21.5953
MKD;5;1;16.6889
NOR;5;1;14.0092
OMN;5;1;19.7544
PAK;5;1;23.3348
PAN;5;1;21.2852
PRY;5;1;15.8241
PER;5;1;21.2893
PHL;5;1;28.5153
POL;5;1;16.0545
PRT;5;1;13.9072
MDA;5;1;21.3823
ROU;5;1;17.849
RUS;5;1;16.7361
RWA;5;1;9.4378
KNA;5;1;13.3969
LCA;5;1;15.3571
VCT;5;1;17.0777
WSM;5;1;9.6134
STP;5;1;18.5974
SAU;5;1;23.4585
SEN;5;1;30.5896
SRB;5;1;20.0428
SLE;5;1;27.5362
SVK;5;1;10.6717
SVN;5;1;18.0069
SLB;5;1;16.7393
ZAF;5;1;25.9977
ESP;5;1;11.9896
LKA;5;1;26.9805
SDN;5;1;22.8319
SUR;5;1;20.8094
SWE;5;1;13.7733
CHE;5;1;11.7492
TWN;5;1;15.4208
TJK;5;1;27.4132
THA;5;1;23.1871
TLS;5;1;32.7256
TGO;5;1;23.2812
TTO;5;1;18.4224
TUN;5;1;23.9579
TUR;5;1;19.2938
TKM;5;1;27.4025
UGA;5;1;13.8462
UKR;5;1;20.0791
ARE;5;1;20.9268
GBR;5;1;13.4189
TZA;5;1;20.409
USA;5;1;10.7792
URY;5;1;17.732
UZB;5;1;24.8221
VUT;5;1;16.1044
VEN;5;1;21.3126
VNM;5;1;26.9833
YEM;5;1;32.0727
ZMB;5;1;31.5528
ZWE;5;1;29.8044
AFG;6;1;0.1501
ALB;6;1;0.8091
DZA;6;1;0.4181
AGO;6;1;0.0441
ATG;6;1;0.2057
ARG;6;1;0.8643
ARM;6;1;0.731
AUS;6;1;0.4681
AUT;6;1;0.7853
AZE;6;1;0.5478
BHS;6;1;0.6613
BGD;6;1;0.2312
BRB;6;1;0.5871
BLR;6;1;0.8511
BEL;6;1;0.69
BLZ;6;1;0.2966
BEN;6;1;0.0544
BOL;6;1;0.5523
BIH;6;1;0.2907
BWA;6;1;0.1068
BRA;6;1;0.4464
BGR;6;1;0.5836
BFA;6;1;0.1471
CPV;6;1;0.338
KHM;6;1;0.1011
CMR;6;1;0.0188
CAN;6;1;0.7731
CAF;6;1;0.0569
TCD;6;1;0.0239
CHL;6;1;0.631
CHN;6;1;1.2349
COL;6;1;0.7433
COG;6;1;0.0433
CRI;6;1;0.6304
CIV;6;1;0.1282
HRV;6;1;0.5027
CUB;6;1;0.4693
CYP;6;1;0.5927
CZE;6;1;0.5037
DNK;6;1;0.9607
DJI;6;1;0.0746
DMA;6;1;0.1529
DOM;6;1;0.6286
ECU;6;1;0.5411
EGY;6;1;0.1957
SLV;6;1;0.5825
EST;6;1;0.7397
SWZ;6;1;0.1247
ETH;6;1;0.0434
FJI;6;1;0.2724
FIN;6;1;0.5094
FRA;6;1;0.6183
PYF;6;1;0.496
GAB;6;1;0.0567
GMB;6;1;0.0984
GEO;6;1;0.4006
DEU;6;1;0.6187
GHA;6;1;0.0659
GRC;6;1;0.4919
GRD;6;1;0.7284
GTM;6;1;0.9419
GIN;6;1;0.1073
GNB;6;1;0.0666
GUY;6;1;0.1213
HTI;6;1;0.0462
HND;6;1;0.2938
HUN;6;1;0.8065
ISL;6;1;0.5928
IND;6;1;0.2384
IDN;6;1;0.3977
IRN;6;1;0.4647
IRQ;6;1;0.7378
IRL;6;1;0.4977
ISR;6;1;0.5555
ITA;6;1;0.6389
JAM;6;1;0.127
JPN;6;1;1.4461
JOR;6;1;0.2395
KAZ;6;1;0.5163
KEN;6;1;0.0942
KIR;6;1;0.1309
PRK;6;1;0.4432
KOR;6;1;0.6085
KWT;6;1;1.016
KGZ;6;1;0.286
LAO;6;1;0.1149
LVA;6;1;0.7417
LBN;6;1;0.1389
LSO;6;1;0.0657
LBR;6;1;0.0938
LTU;6;1;0.8481
LUX;6;1;0.9595
MDG;6;1;0.0525
MWI;6;1;0.0755
MYS;6;1;1.2204
MDV;6;1;0.9991
MLI;6;1;0.0342
MLT;6;1;0.6791
MRT;6;1;0.1583
MUS;6;1;0.3517
MEX;6;1;1.0733
MNG;6;1;0.3375
MNE;6;1;0.6608
MAR;6;1;0.3402
MOZ;6;1;0.1519
MMR;6;1;0.3887
NAM;6;1;0.1028
NPL;6;1;0.1395
NLD;6;1;0.8465
NCL;6;1;0.6362
NZL;6;1;0.6336
NIC;6;1;0.3614
NER;6;1;0.0194
NGA;6;1;0.1624
MKD;6;1;0.3501
NOR;6;1;0.665
OMN;6;1;0.5288
PAK;6;1;0.2793
PAN;6;1;0.3873
PRY;6;1;0.7848
PER;6;1;0.5778
PHL;6;1;0.2992
POL;6;1;0.3687
PRT;6;1;0.4726
MDA;6;1;0.6264
ROU;6;1;0.7946
RUS;6;1;0.9075
RWA;6;1;0.0226
KNA;6;1;0.318
LCA;6;1;0.2444
VCT;6;1;0.2872
WSM;6;1;0.1513
STP;6;1;0.0414
SAU;6;1;0.4069
SEN;6;1;0.1149
SRB;6;1;0.6419
SLE;6;1;0.1021
SVK;6;1;0.9029
SVN;6;1;0.6101
SLB;6;1;0.083
ZAF;6;1;0.4341
ESP;6;1;0.8105
LKA;6;1;0.3253
SDN;6;1;0.1028
SUR;6;1;0.4084
SWE;6;1;0.823
CHE;6;1;0.586
TWN;6;1;0.9071
TJK;6;1;0.214
THA;6;1;0.902
TLS;6;1;0.0701
TGO;6;1;0.0618
TTO;6;1;0.2629
TUN;6;1;0.3894
TUR;6;1;0.4237
TKM;6;1;0.4701
UGA;6;1;0.0699
UKR;6;1;0.9059
ARE;6;1;0.4307
GBR;6;1;0.6272
TZA;6;1;0.0209
USA;6;1;0.7832
URY;6;1;0.6661
UZB;6;1;0.4137
VUT;6;1;0.1906
VEN;6;1;0.2892
VNM;6;1;0.2894
YEM;6;1;0.1455
ZMB;6;1;0.1988
ZWE;6;1;0.1381
AFG;7;1;0
ALB;7;1;0.1471
DZA;7;1;0.1195
AGO;7;1;0.8372
ATG;7;1;1.728
ARG;7;1;0.2006
ARM;7;1;0.1787
AUS;7;1;0.604
AUT;7;1;0.4062
AZE;7;1;0.0967
BHS;7;1;1.2491
BGD;7;1;0.8284
BRB;7;1;1.416
BLR;7;1;0.4863
